year,team,off_rtg,def_rtg,efg,reb_diff
2022,ATL,116.5,114.9,0.543,0.10000000000000142
2022,BOS,114.4,106.9,0.542,2.3999999999999986
2022,BRK,113.6,112.8,0.54,0.29999999999999716
2022,CHO,114.1,113.7,0.544,-2.3999999999999986
2022,CHI,113.2,113.6,0.541,-0.9000000000000057
2022,CLE,111.9,109.7,0.538,1.3000000000000043
2022,DAL,112.8,109.4,0.538,-0.6000000000000014
2022,DEN,114.5,112.1,0.556,1.7000000000000028
2022,DET,106.0,113.8,0.494,-3.299999999999997
2022,GSW,112.5,106.9,0.552,2.8999999999999986
2022,HOU,108.4,116.7,0.534,-3.700000000000003
2022,IND,112.6,116.1,0.531,0.7999999999999972
2022,LAC,110.1,110.1,0.531,-3.1000000000000014
2022,LAL,110.3,113.3,0.537,-2.6000000000000014
2022,MEM,114.6,109.0,0.522,6.200000000000003
2022,MIA,113.7,109.1,0.547,2.0
2022,MIL,115.1,111.8,0.546,2.6000000000000014
2022,MIN,114.3,111.7,0.539,-1.6999999999999957
2022,NOP,112.0,113.0,0.517,3.4000000000000057
2022,NYK,110.4,110.5,0.513,2.5
2022,OKC,104.6,112.8,0.497,-2.799999999999997
2022,ORL,104.5,112.5,0.503,-2.8000000000000043
2022,PHI,113.5,110.8,0.534,-1.9000000000000057
2022,PHO,114.8,107.3,0.549,0.7999999999999972
2022,POR,107.8,116.9,0.515,-1.8000000000000043
2022,SAC,109.9,115.3,0.525,-2.8999999999999986
2022,SAS,112.4,112.3,0.527,-1.5
2022,TOR,112.9,110.5,0.51,1.2999999999999972
2022,UTA,116.7,110.5,0.555,4.699999999999996
2022,WAS,111.1,114.5,0.532,-1.1000000000000014
