date,winner,loser,winner_score,loser_score
"['1985', '01', '01']",Philadelphia,Portland,111,106
"['1985', '01', '01']",Indiana,Utah,119,117
"['1985', '01', '02']",Atlanta,Chicago,121,107
"['1985', '01', '02']",Houston,Denver,113,111
"['1985', '01', '02']",Detroit,Cleveland,108,100
"['1985', '01', '02']",Phoenix,Kansas City,115,107
"['1985', '01', '02']",Boston,New Jersey,110,95
"['1985', '01', '02']",Philadelphia,Seattle,118,109
"['1985', '01', '03']",Cleveland,Washington,100,93
"['1985', '01', '03']",Indiana,Golden State,112,96
"['1985', '01', '03']",Milwaukee,LA Clippers,111,87
"['1985', '01', '03']",Portland,Seattle,123,89
"['1985', '01', '03']",San Antonio,Dallas,116,115
"['1985', '01', '04']",Boston,New York,105,94
"['1985', '01', '04']",Chicago,Milwaukee,106,101
"['1985', '01', '04']",Detroit,Atlanta,134,111
"['1985', '01', '04']",Kansas City,LA Clippers,132,112
"['1985', '01', '04']",LA Lakers,Portland,120,95
"['1985', '01', '04']",New Jersey,Phoenix,105,98
"['1985', '01', '04']",Utah,Denver,118,108
"['1985', '01', '05']",Atlanta,New Jersey,124,114
"['1985', '01', '05']",Cleveland,Phoenix,111,106
"['1985', '01', '05']",Dallas,Kansas City,135,107
"['1985', '01', '05']",LA Clippers,Denver,127,115
"['1985', '01', '05']",Houston,Golden State,103,94
"['1985', '01', '05']",Philadelphia,Milwaukee,110,106
"['1985', '01', '05']",New York,Chicago,119,113
"['1985', '01', '05']",Seattle,Indiana,104,97
"['1985', '01', '05']",Detroit,Washington,121,113
"['1985', '01', '06']",LA Lakers,San Antonio,99,98
"['1985', '01', '06']",Portland,Indiana,118,101
"['1985', '01', '06']",Utah,Houston,121,92
"['1985', '01', '07']",Kansas City,Golden State,110,101
"['1985', '01', '07']",LA Clippers,Utah,116,106
"['1985', '01', '07']",Boston,New York,108,97
"['1985', '01', '07']",Philadelphia,Phoenix,100,99
"['1985', '01', '07']",Dallas,Seattle,102,84
"['1985', '01', '08']",Cleveland,New Jersey,107,101
"['1985', '01', '08']",Houston,Kansas City,112,110
"['1985', '01', '08']",Denver,LA Lakers,126,124
"['1985', '01', '08']",Washington,Milwaukee,99,95
"['1985', '01', '08']",Dallas,Portland,108,102
"['1985', '01', '08']",San Antonio,Golden State,139,94
"['1985', '01', '09']",Boston,Chicago,111,108
"['1985', '01', '09']",Denver,New York,100,95
"['1985', '01', '09']",Milwaukee,Indiana,106,105
"['1985', '01', '09']",Philadelphia,Detroit,126,122
"['1985', '01', '09']",Phoenix,Seattle,94,88
"['1985', '01', '10']",Seattle,Golden State,89,86
"['1985', '01', '10']",Dallas,Kansas City,117,110
"['1985', '01', '10']",LA Lakers,Utah,120,112
"['1985', '01', '11']",Boston,Washington,103,101
"['1985', '01', '11']",Chicago,New York,113,97
"['1985', '01', '11']",LA Lakers,Dallas,121,102
"['1985', '01', '11']",Denver,Kansas City,143,121
"['1985', '01', '11']",Detroit,Indiana,120,109
"['1985', '01', '11']",Milwaukee,Cleveland,130,117
