date,winner,loser,winner_score,loser_score
"['2010', '01', '01']",New York,Atlanta,112,108
"['2010', '01', '01']",LA Lakers,Sacramento,109,108
"['2010', '01', '01']",Orlando,Minnesota,106,94
"['2010', '01', '02']",Boston,Toronto,103,96
"['2010', '01', '02']",Chicago,Orlando,101,93
"['2010', '01', '02']",Indiana,Minnesota,122,111
"['2010', '01', '02']",Charlotte,Miami,107,97
"['2010', '01', '02']",Milwaukee,Oklahoma City,103,97
"['2010', '01', '02']",Cleveland,New Jersey,94,86
"['2010', '01', '02']",New Orleans,Houston,99,95
"['2010', '01', '02']",Memphis,Phoenix,128,103
"['2010', '01', '02']",Portland,Golden State,105,89
"['2010', '01', '02']",Dallas,Sacramento,99,91
"['2010', '01', '02']",Denver,Utah,105,95
"['2010', '01', '02']",San Antonio,Washington,97,86
"['2010', '01', '03']",Charlotte,Cleveland,91,88
"['2010', '01', '03']",Philadelphia,Denver,108,105
"['2010', '01', '03']",LA Lakers,Dallas,131,96
"['2010', '01', '03']",New York,Indiana,132,89
"['2010', '01', '03']",Toronto,San Antonio,91,86
"['2010', '01', '04']",Oklahoma City,Chicago,98,85
"['2010', '01', '04']",LA Clippers,Portland,105,95
"['2010', '01', '04']",Miami,Atlanta,92,75
"['2010', '01', '04']",New Orleans,Utah,91,87
"['2010', '01', '05']",Charlotte,Chicago,113,108
"['2010', '01', '05']",Dallas,Detroit,98,93
"['2010', '01', '05']",Denver,Golden State,123,122
"['2010', '01', '05']",Indiana,Orlando,97,90
"['2010', '01', '05']",LA Lakers,Houston,88,79
"['2010', '01', '05']",Milwaukee,New Jersey,98,76
"['2010', '01', '05']",Washington,Philadelphia,104,97
"['2010', '01', '05']",Memphis,Portland,109,105
"['2010', '01', '05']",Phoenix,Sacramento,113,109
"['2010', '01', '06']",Atlanta,New Jersey,119,89
"['2010', '01', '06']",Cleveland,Washington,121,98
"['2010', '01', '06']",LA Clippers,LA Lakers,102,91
"['2010', '01', '06']",Boston,Miami,112,106
"['2010', '01', '06']",Golden State,Minnesota,107,101
"['2010', '01', '06']",New Orleans,Oklahoma City,97,92
"['2010', '01', '06']",Toronto,Orlando,108,103
"['2010', '01', '06']",Phoenix,Houston,118,110
"['2010', '01', '06']",San Antonio,Detroit,112,92
"['2010', '01', '06']",Utah,Memphis,117,94
"['2010', '01', '07']",New York,Charlotte,97,93
"['2010', '01', '08']",Atlanta,Boston,93,85
"['2010', '01', '08']",Denver,Cleveland,99,97
"['2010', '01', '08']",Golden State,Sacramento,108,101
"['2010', '01', '08']",Memphis,Utah,91,89
"['2010', '01', '08']",Milwaukee,Chicago,96,93
"['2010', '01', '08']",Minnesota,Indiana,116,109
"['2010', '01', '08']",New Orleans,New Jersey,103,99
"['2010', '01', '08']",Toronto,Philadelphia,108,106
"['2010', '01', '08']",Miami,Phoenix,109,105
"['2010', '01', '08']",Portland,LA Lakers,107,98
"['2010', '01', '08']",Dallas,San Antonio,112,103
"['2010', '01', '08']",Washington,Orlando,104,97
"['2010', '01', '09']",Charlotte,Memphis,89,87
"['2010', '01', '09']",Chicago,Minnesota,110,96
"['2010', '01', '09']",Utah,Dallas,111,93
"['2010', '01', '09']",Philadelphia,Detroit,104,94
"['2010', '01', '09']",Houston,New York,105,96
"['2010', '01', '09']",Oklahoma City,Indiana,108,102
"['2010', '01', '09']",Orlando,Atlanta,113,81
"['2010', '01', '09']",Sacramento,Denver,102,100
"['2010', '01', '10']",LA Clippers,Miami,94,84
"['2010', '01', '10']",LA Lakers,Milwaukee,95,77
"['2010', '01', '10']",Cleveland,Portland,106,94
"['2010', '01', '10']",San Antonio,New Jersey,97,85
"['2010', '01', '10']",Boston,Toronto,114,107
"['2010', '01', '10']",New Orleans,Washington,115,110
"['2010', '01', '11']",Atlanta,Boston,102,96
"['2010', '01', '11']",Chicago,Detroit,120,87
"['2010', '01', '11']",Denver,Minnesota,105,94
"['2010', '01', '11']",Cleveland,Golden State,117,114
"['2010', '01', '11']",Indiana,Toronto,105,101
"['2010', '01', '11']",Oklahoma City,New York,106,88
"['2010', '01', '11']",Philadelphia,New Orleans,96,92
"['2010', '01', '11']",Phoenix,Milwaukee,105,101
"['2010', '01', '11']",Utah,Miami,118,89
"['2010', '01', '12']",Charlotte,Houston,102,94
"['2010', '01', '12']",Memphis,LA Clippers,104,102
"['2010', '01', '12']",Orlando,Sacramento,109,88
"['2010', '01', '12']",San Antonio,LA Lakers,105,85
"['2010', '01', '12']",Detroit,Washington,99,90
"['2010', '01', '13']",Atlanta,Washington,94,82
"['2010', '01', '13']",LA Lakers,Dallas,100,95
"['2010', '01', '13']",Denver,Orlando,115,97
"['2010', '01', '13']",Miami,Golden State,115,102
"['2010', '01', '13']",Houston,Minnesota,120,114
"['2010', '01', '13']",Indiana,Phoenix,122,114
"['2010', '01', '13']",Boston,New Jersey,111,87
"['2010', '01', '13']",New Orleans,LA Clippers,108,94
"['2010', '01', '13']",San Antonio,Oklahoma City,109,108
"['2010', '01', '13']",New York,Philadelphia,93,92
"['2010', '01', '13']",Portland,Milwaukee,120,108
"['2010', '01', '14']",Chicago,Boston,96,83
"['2010', '01', '14']",Utah,Cleveland,97,96
"['2010', '01', '15']",Atlanta,Phoenix,102,101
"['2010', '01', '15']",Charlotte,San Antonio,92,76
"['2010', '01', '15']",Chicago,Washington,121,119
"['2010', '01', '15']",Dallas,Oklahoma City,99,98
"['2010', '01', '15']",Detroit,New Orleans,110,104
"['2010', '01', '15']",Milwaukee,Golden State,113,104
"['2010', '01', '15']",Miami,Houston,115,106
"['2010', '01', '15']",LA Lakers,LA Clippers,126,86
"['2010', '01', '15']",Memphis,Minnesota,135,110
"['2010', '01', '15']",Indiana,New Jersey,121,105
"['2010', '01', '15']",Toronto,New York,112,104
"['2010', '01', '15']",Philadelphia,Sacramento,98,86
"['2010', '01', '15']",Portland,Orlando,102,87
"['2010', '01', '16']",Charlotte,Phoenix,125,99
"['2010', '01', '16']",Detroit,New York,94,90
"['2010', '01', '16']",New Orleans,Indiana,101,96
"['2010', '01', '16']",Cleveland,LA Clippers,102,101
"['2010', '01', '16']",Memphis,San Antonio,92,86
"['2010', '01', '16']",Oklahoma City,Miami,98,80
"['2010', '01', '16']",Utah,Milwaukee,112,95
"['2010', '01', '16']",Washington,Sacramento,96,86
"['2010', '01', '17']",Denver,Utah,119,112
"['2010', '01', '17']",Toronto,Dallas,110,88
"['2010', '01', '18']",Oklahoma City,Atlanta,94,91
"['2010', '01', '18']",Dallas,Boston,99,90
"['2010', '01', '18']",Charlotte,Sacramento,105,103
"['2010', '01', '18']",Golden State,Chicago,114,97
"['2010', '01', '18']",Houston,Milwaukee,101,98
"['2010', '01', '18']",LA Clippers,New Jersey,106,95
"['2010', '01', '18']",LA Lakers,Orlando,98,92
"['2010', '01', '18']",Memphis,Phoenix,125,118
"['2010', '01', '18']",Minnesota,Philadelphia,108,103
"['2010', '01', '18']",San Antonio,New Orleans,97,90
"['2010', '01', '18']",New York,Detroit,99,91
"['2010', '01', '18']",Washington,Portland,97,92
"['2010', '01', '19']",Cleveland,Toronto,108,100
"['2010', '01', '19']",Miami,Indiana,113,83
"['2010', '01', '20']",Atlanta,Sacramento,108,97
"['2010', '01', '20']",Charlotte,Miami,104,65
"['2010', '01', '20']",Detroit,Boston,92,86
"['2010', '01', '20']",Denver,Golden State,123,118
"['2010', '01', '20']",LA Clippers,Chicago,104,97
"['2010', '01', '20']",Milwaukee,Toronto,113,107
"['2010', '01', '20']",Oklahoma City,Minnesota,94,92
"['2010', '01', '20']",New Orleans,Memphis,113,111
"['2010', '01', '20']",Orlando,Indiana,109,98
"['2010', '01', '20']",Portland,Philadelphia,98,90
"['2010', '01', '20']",Phoenix,New Jersey,118,94
"['2010', '01', '20']",Utah,San Antonio,105,98
"['2010', '01', '20']",Dallas,Washington,94,93
"['2010', '01', '21']",Cleveland,LA Lakers,93,87
"['2010', '01', '21']",Denver,LA Clippers,105,85
"['2010', '01', '22']",Atlanta,Charlotte,103,89
"['2010', '01', '22']",Boston,Portland,98,95
"['2010', '01', '22']",Indiana,Detroit,105,93
"['2010', '01', '22']",Golden State,New Jersey,111,79
"['2010', '01', '22']",Memphis,Oklahoma City,86,84
"['2010', '01', '22']",New Orleans,Minnesota,96,94
"['2010', '01', '22']",LA Lakers,New York,115,105
