date,winner,loser,winner_score,loser_score
"['2019', '01', '01']",Denver,New York,115,108
"['2019', '01', '01']",Philadelphia,LA Clippers,119,113
"['2019', '01', '01']",Milwaukee,Detroit,121,98
"['2019', '01', '01']",Portland,Sacramento,113,108
"['2019', '01', '01']",Toronto,Utah,122,116
"['2019', '01', '02']",Boston,Minnesota,115,102
"['2019', '01', '02']",Brooklyn,New Orleans,126,121
"['2019', '01', '02']",Orlando,Chicago,112,84
"['2019', '01', '02']",Dallas,Charlotte,122,84
"['2019', '01', '02']",Miami,Cleveland,117,92
"['2019', '01', '02']",Oklahoma City,LA Lakers,107,100
"['2019', '01', '02']",Detroit,Memphis,101,94
"['2019', '01', '02']",Philadelphia,Phoenix,132,127
"['2019', '01', '02']",Washington,Atlanta,114,98
"['2019', '01', '03']",Houston,Golden State,135,134
"['2019', '01', '03']",Denver,Sacramento,117,113
"['2019', '01', '03']",San Antonio,Toronto,125,107
"['2019', '01', '04']",Boston,Dallas,114,93
"['2019', '01', '04']",Indiana,Chicago,119,116
"['2019', '01', '04']",Utah,Cleveland,117,91
"['2019', '01', '04']",New York,LA Lakers,119,112
"['2019', '01', '04']",Brooklyn,Memphis,109,100
"['2019', '01', '04']",Miami,Washington,115,109
"['2019', '01', '04']",Milwaukee,Atlanta,144,112
"['2019', '01', '04']",Minnesota,Orlando,120,103
"['2019', '01', '04']",LA Clippers,Phoenix,121,111
"['2019', '01', '04']",Oklahoma City,Portland,111,109
"['2019', '01', '05']",New Orleans,Cleveland,133,98
"['2019', '01', '05']",Denver,Charlotte,123,110
"['2019', '01', '05']",Utah,Detroit,110,105
"['2019', '01', '05']",Toronto,Milwaukee,123,116
"['2019', '01', '05']",Philadelphia,Dallas,106,100
"['2019', '01', '05']",Portland,Houston,110,101
"['2019', '01', '05']",Golden State,Sacramento,127,123
"['2019', '01', '05']",San Antonio,Memphis,108,88
"['2019', '01', '06']",Atlanta,Miami,106,82
"['2019', '01', '06']",Brooklyn,Chicago,117,100
"['2019', '01', '06']",LA Clippers,Orlando,106,96
"['2019', '01', '06']",Minnesota,LA Lakers,108,86
"['2019', '01', '06']",Washington,Oklahoma City,116,98
"['2019', '01', '06']",Charlotte,Phoenix,119,113
"['2019', '01', '06']",Toronto,Indiana,121,105
"['2019', '01', '07']",Boston,Brooklyn,116,95
"['2019', '01', '07']",LA Lakers,Dallas,107,97
"['2019', '01', '07']",San Antonio,Detroit,119,107
"['2019', '01', '07']",Houston,Denver,125,113
"['2019', '01', '07']",Milwaukee,Utah,114,102
"['2019', '01', '07']",New Orleans,Memphis,114,95
"['2019', '01', '07']",Portland,New York,111,101
"['2019', '01', '07']",Sacramento,Orlando,111,95
"['2019', '01', '08']",Indiana,Cleveland,123,115
"['2019', '01', '08']",Golden State,New York,122,95
"['2019', '01', '08']",LA Clippers,Charlotte,128,109
"['2019', '01', '08']",Denver,Miami,103,99
"['2019', '01', '08']",Minnesota,Oklahoma City,119,117
"['2019', '01', '08']",Philadelphia,Washington,132,115
"['2019', '01', '08']",Phoenix,Sacramento,115,111
"['2019', '01', '08']",Toronto,Atlanta,104,101
"['2019', '01', '09']",Boston,Indiana,135,108
"['2019', '01', '09']",Brooklyn,Atlanta,116,100
"['2019', '01', '09']",Dallas,Phoenix,104,94
"['2019', '01', '09']",Milwaukee,Houston,116,109
"['2019', '01', '09']",LA Lakers,Detroit,113,100
"['2019', '01', '09']",Memphis,San Antonio,96,86
"['2019', '01', '09']",New Orleans,Cleveland,140,124
"['2019', '01', '09']",Portland,Chicago,124,112
"['2019', '01', '09']",Utah,Orlando,106,93
"['2019', '01', '09']",Washington,Philadelphia,123,106
"['2019', '01', '10']",Denver,LA Clippers,121,100
"['2019', '01', '10']",Miami,Boston,115,99
"['2019', '01', '10']",Sacramento,Detroit,112,102
"['2019', '01', '10']",San Antonio,Oklahoma City,154,147
"['2019', '01', '11']",Golden State,Chicago,146,109
"['2019', '01', '11']",Houston,Cleveland,141,113
"['2019', '01', '11']",Dallas,Minnesota,119,115
"['2019', '01', '11']",Indiana,New York,121,106
"['2019', '01', '11']",Atlanta,Philadelphia,123,121
"['2019', '01', '11']",Portland,Charlotte,127,96
"['2019', '01', '11']",Toronto,Brooklyn,122,105
"['2019', '01', '11']",Utah,LA Lakers,113,95
"['2019', '01', '11']",Washington,Milwaukee,113,106
"['2019', '01', '12']",Detroit,LA Clippers,109,104
"['2019', '01', '12']",Miami,Memphis,112,108
"['2019', '01', '12']",Minnesota,New Orleans,110,106
"['2019', '01', '12']",Oklahoma City,San Antonio,122,112
"['2019', '01', '12']",Orlando,Boston,105,103
"['2019', '01', '12']",Phoenix,Denver,102,93
"['2019', '01', '12']",Sacramento,Charlotte,104,97
"['2019', '01', '12']",Utah,Chicago,110,102
"['2019', '01', '13']",Milwaukee,Atlanta,133,114
"['2019', '01', '13']",Golden State,Dallas,119,114
"['2019', '01', '13']",Denver,Portland,116,113
"['2019', '01', '13']",Cleveland,LA Lakers,101,95
"['2019', '01', '13']",Philadelphia,New York,108,105
"['2019', '01', '13']",Orlando,Houston,116,109
"['2019', '01', '13']",Toronto,Washington,140,138
"['2019', '01', '14']",Brooklyn,Boston,109,102
"['2019', '01', '14']",Houston,Memphis,112,94
"['2019', '01', '14']",New Orleans,LA Clippers,121,117
"['2019', '01', '14']",Sacramento,Portland,115,107
"['2019', '01', '14']",Charlotte,San Antonio,108,93
"['2019', '01', '14']",Utah,Detroit,100,94
"['2019', '01', '15']",Atlanta,Oklahoma City,142,126
"['2019', '01', '15']",Golden State,Denver,142,111
"['2019', '01', '15']",Indiana,Phoenix,131,97
"['2019', '01', '15']",LA Lakers,Chicago,107,100
"['2019', '01', '15']",Milwaukee,Miami,124,86
"['2019', '01', '15']",Philadelphia,Minnesota,149,107
"['2019', '01', '16']",Boston,Toronto,117,108
"['2019', '01', '16']",San Antonio,Dallas,105,101
"['2019', '01', '16']",Detroit,Orlando,120,115
"['2019', '01', '16']",Golden State,New Orleans,147,140
"['2019', '01', '16']",Brooklyn,Houston,145,142
"['2019', '01', '16']",Utah,LA Clippers,129,109
"['2019', '01', '16']",Milwaukee,Memphis,111,101
"['2019', '01', '16']",Portland,Cleveland,129,112
"['2019', '01', '17']",Charlotte,Sacramento,114,95
"['2019', '01', '17']",Denver,Chicago,135,105
"['2019', '01', '17']",Philadelphia,Indiana,120,96
"['2019', '01', '17']",LA Lakers,Oklahoma City,138,128
"['2019', '01', '17']",Toronto,Phoenix,111,109
"['2019', '01', '17']",Washington,New York,101,100
"['2019', '01', '18']",Boston,Memphis,122,116
"['2019', '01', '18']",Detroit,Miami,98,93
"['2019', '01', '18']",Golden State,LA Clippers,112,94
"['2019', '01', '18']",San Antonio,Minnesota,116,113
"['2019', '01', '18']",Brooklyn,Orlando,117,115
"['2019', '01', '18']",Portland,New Orleans,128,112
"['2019', '01', '18']",Utah,Cleveland,115,99
"['2019', '01', '19']",Boston,Atlanta,113,105
"['2019', '01', '19']",Miami,Chicago,117,103
"['2019', '01', '19']",Charlotte,Phoenix,135,115
"['2019', '01', '19']",Denver,Cleveland,124,102
"['2019', '01', '19']",Sacramento,Detroit,103,101
"['2019', '01', '19']",Houston,LA Lakers,138,134
"['2019', '01', '19']",Indiana,Dallas,111,99
"['2019', '01', '19']",Milwaukee,Orlando,118,108
"['2019', '01', '19']",Oklahoma City,Philadelphia,117,115
"['2019', '01', '19']",Toronto,Memphis,119,90
"['2019', '01', '20']",Indiana,Charlotte,120,95
"['2019', '01', '20']",Minnesota,Phoenix,116,114
