date,winner,loser,winner_score,loser_score
"['2020', '01', '01']",LA Lakers,Phoenix,117,107
"['2020', '01', '01']",Milwaukee,Minnesota,106,104
"['2020', '01', '01']",New York,Portland,117,93
"['2020', '01', '01']",Orlando,Washington,122,101
"['2020', '01', '02']",Utah,Chicago,102,98
"['2020', '01', '02']",Charlotte,Cleveland,109,106
"['2020', '01', '02']",Dallas,Brooklyn,123,111
"['2020', '01', '02']",Denver,Indiana,124,116
"['2020', '01', '02']",LA Clippers,Detroit,126,112
"['2020', '01', '02']",Miami,Toronto,84,76
"['2020', '01', '02']",Minnesota,Golden State,99,84
"['2020', '01', '02']",Sacramento,Memphis,128,123
"['2020', '01', '02']",Oklahoma City,San Antonio,109,103
"['2020', '01', '03']",Boston,Atlanta,109,106
"['2020', '01', '03']",Houston,Philadelphia,118,108
"['2020', '01', '03']",LA Lakers,New Orleans,123,113
"['2020', '01', '03']",Orlando,Miami,105,85
"['2020', '01', '03']",Phoenix,New York,120,112
"['2020', '01', '03']",Portland,Washington,122,103
"['2020', '01', '04']",Atlanta,Indiana,116,111
"['2020', '01', '04']",Toronto,Brooklyn,121,102
"['2020', '01', '04']",Boston,Chicago,111,104
"['2020', '01', '04']",Oklahoma City,Cleveland,121,106
"['2020', '01', '04']",Charlotte,Dallas,123,120
"['2020', '01', '04']",Detroit,Golden State,111,104
"['2020', '01', '04']",Memphis,LA Clippers,140,114
"['2020', '01', '04']",Milwaukee,San Antonio,127,118
"['2020', '01', '04']",Utah,Orlando,109,96
"['2020', '01', '04']",New Orleans,Sacramento,117,115
"['2020', '01', '04']",Washington,Denver,128,114
"['2020', '01', '05']",Minnesota,Cleveland,118,103
"['2020', '01', '05']",LA Clippers,New York,135,132
"['2020', '01', '05']",LA Lakers,Detroit,106,99
"['2020', '01', '05']",Miami,Portland,122,111
"['2020', '01', '05']",Memphis,Phoenix,121,114
"['2020', '01', '06']",Denver,Atlanta,123,115
"['2020', '01', '06']",Indiana,Charlotte,115,104
"['2020', '01', '06']",Dallas,Chicago,118,110
"['2020', '01', '06']",Utah,New Orleans,128,126
"['2020', '01', '06']",Orlando,Brooklyn,101,89
"['2020', '01', '06']",Philadelphia,Oklahoma City,120,113
"['2020', '01', '06']",Sacramento,Golden State,111,98
"['2020', '01', '06']",San Antonio,Milwaukee,126,104
"['2020', '01', '06']",Washington,Boston,99,94
"['2020', '01', '07']",Oklahoma City,Brooklyn,111,103
"['2020', '01', '07']",Detroit,Cleveland,115,113
"['2020', '01', '07']",LA Lakers,New York,117,87
"['2020', '01', '07']",Memphis,Minnesota,119,112
"['2020', '01', '07']",Sacramento,Phoenix,114,103
"['2020', '01', '07']",Portland,Toronto,101,99
"['2020', '01', '08']",Houston,Atlanta,122,115
"['2020', '01', '08']",San Antonio,Boston,129,114
"['2020', '01', '08']",Toronto,Charlotte,112,110
"['2020', '01', '08']",Denver,Dallas,107,106
"['2020', '01', '08']",Milwaukee,Golden State,107,98
"['2020', '01', '08']",Miami,Indiana,122,108
"['2020', '01', '08']",New Orleans,Chicago,123,108
"['2020', '01', '08']",Orlando,Washington,123,89
"['2020', '01', '08']",Utah,New York,128,104
"['2020', '01', '09']",Cleveland,Detroit,115,112
"['2020', '01', '09']",Minnesota,Portland,116,102
"['2020', '01', '09']",Oklahoma City,Houston,113,92
"['2020', '01', '09']",Philadelphia,Boston,109,98
"['2020', '01', '10']",Brooklyn,Miami,117,113
"['2020', '01', '10']",Indiana,Chicago,116,105
"['2020', '01', '10']",LA Lakers,Dallas,129,114
"['2020', '01', '10']",LA Clippers,Golden State,109,100
"['2020', '01', '10']",Memphis,San Antonio,134,121
"['2020', '01', '10']",New Orleans,New York,123,111
"['2020', '01', '10']",Phoenix,Orlando,98,94
"['2020', '01', '10']",Milwaukee,Sacramento,127,106
"['2020', '01', '10']",Utah,Charlotte,109,92
"['2020', '01', '10']",Washington,Atlanta,111,101
"['2020', '01', '11']",Boston,New Orleans,140,105
"['2020', '01', '11']",Dallas,Philadelphia,109,91
"['2020', '01', '11']",Cleveland,Denver,111,103
"['2020', '01', '11']",Chicago,Detroit,108,99
"['2020', '01', '11']",Houston,Minnesota,139,109
"['2020', '01', '11']",LA Lakers,Oklahoma City,125,110
"['2020', '01', '11']",Milwaukee,Portland,122,101
"['2020', '01', '12']",Brooklyn,Atlanta,108,86
"['2020', '01', '12']",Denver,LA Clippers,114,104
"['2020', '01', '12']",Memphis,Golden State,122,102
"['2020', '01', '12']",New York,Miami,124,121
"['2020', '01', '12']",Phoenix,Charlotte,100,92
"['2020', '01', '12']",San Antonio,Toronto,105,104
"['2020', '01', '12']",Utah,Washington,127,116
"['2020', '01', '13']",Boston,Chicago,113,101
"['2020', '01', '13']",New Orleans,Detroit,117,110
"['2020', '01', '13']",Indiana,Philadelphia,101,95
"['2020', '01', '13']",LA Lakers,Cleveland,128,99
"['2020', '01', '13']",Oklahoma City,Minnesota,117,104
"['2020', '01', '13']",Portland,Charlotte,115,112
"['2020', '01', '13']",Orlando,Sacramento,114,112
"['2020', '01', '14']",Atlanta,Phoenix,123,110
"['2020', '01', '14']",Utah,Brooklyn,118,107
"['2020', '01', '14']",Dallas,Golden State,124,97
"['2020', '01', '14']",LA Clippers,Cleveland,128,103
"['2020', '01', '14']",Memphis,Houston,121,110
"['2020', '01', '14']",Milwaukee,New York,128,102
"['2020', '01', '15']",Detroit,Boston,116,103
"['2020', '01', '15']",Chicago,Washington,115,106
"['2020', '01', '15']",Denver,Charlotte,100,86
"['2020', '01', '15']",Portland,Houston,117,107
"['2020', '01', '15']",Orlando,LA Lakers,119,118
"['2020', '01', '15']",Miami,San Antonio,106,100
"['2020', '01', '15']",Indiana,Minnesota,104,99
"['2020', '01', '15']",Toronto,Oklahoma City,130,121
"['2020', '01', '15']",Philadelphia,Brooklyn,117,106
"['2020', '01', '15']",Dallas,Sacramento,127,123
"['2020', '01', '16']",Denver,Golden State,134,131
"['2020', '01', '16']",LA Clippers,Orlando,122,95
"['2020', '01', '16']",Milwaukee,Boston,128,123
"['2020', '01', '16']",New Orleans,Utah,138,132
"['2020', '01', '16']",Phoenix,New York,121,98
"['2020', '01', '17']",Dallas,Portland,120,112
"['2020', '01', '17']",Indiana,Minnesota,116,114
"['2020', '01', '17']",Memphis,Cleveland,113,109
"['2020', '01', '17']",Miami,Oklahoma City,115,108
"['2020', '01', '17']",Philadelphia,Chicago,100,89
"['2020', '01', '17']",Atlanta,San Antonio,121,120
"['2020', '01', '17']",Toronto,Washington,140,111
"['2020', '01', '18']",Detroit,Atlanta,136,103
"['2020', '01', '18']",Phoenix,Boston,123,119
"['2020', '01', '18']",Milwaukee,Brooklyn,117,97
"['2020', '01', '18']",Chicago,Cleveland,118,116
"['2020', '01', '18']",Golden State,Orlando,109,95
"['2020', '01', '18']",LA Lakers,Houston,124,115
"['2020', '01', '18']",Toronto,Minnesota,122,112
"['2020', '01', '18']",LA Clippers,New Orleans,133,130
"['2020', '01', '18']",Philadelphia,New York,90,87
"['2020', '01', '18']",Oklahoma City,Portland,119,106
"['2020', '01', '18']",Utah,Sacramento,123,101
"['2020', '01', '19']",Indiana,Denver,115,107
"['2020', '01', '19']",San Antonio,Miami,107,102
"['2020', '01', '20']",Toronto,Atlanta,122,117
"['2020', '01', '20']",Boston,LA Lakers,139,107
"['2020', '01', '20']",Philadelphia,Brooklyn,117,111
"['2020', '01', '20']",Orlando,Charlotte,106,83
"['2020', '01', '20']",New York,Cleveland,106,86
"['2020', '01', '20']",Oklahoma City,Houston,112,107
"['2020', '01', '20']",New Orleans,Memphis,126,116
"['2020', '01', '20']",Miami,Sacramento,118,113
"['2020', '01', '20']",Milwaukee,Chicago,111,98
"['2020', '01', '20']",Denver,Minnesota,107,100
"['2020', '01', '20']",San Antonio,Phoenix,120,118
"['2020', '01', '20']",Portland,Golden State,129,124
"['2020', '01', '20']",Utah,Indiana,118,88
"['2020', '01', '20']",Washington,Detroit,106,100
"['2020', '01', '21']",LA Clippers,Dallas,110,107
"['2020', '01', '22']",Atlanta,LA Clippers,102,95
"['2020', '01', '22']",Boston,Memphis,119,95
"['2020', '01', '22']",Chicago,Minnesota,117,110
"['2020', '01', '22']",Detroit,Sacramento,127,106
"['2020', '01', '22']",Utah,Golden State,129,96
"['2020', '01', '22']",Houston,Denver,121,105
"['2020', '01', '22']",Miami,Washington,134,129
"['2020', '01', '22']",San Antonio,New Orleans,121,117
"['2020', '01', '22']",LA Lakers,New York,100,92
"['2020', '01', '22']",Oklahoma City,Orlando,120,114
"['2020', '01', '22']",Indiana,Phoenix,112,87
"['2020', '01', '22']",Toronto,Philadelphia,107,95
"['2020', '01', '23']",LA Lakers,Brooklyn,128,113
"['2020', '01', '23']",Washington,Cleveland,124,112
"['2020', '01', '23']",Dallas,Portland,133,125
"['2020', '01', '24']",Sacramento,Chicago,98,81
"['2020', '01', '24']",Milwaukee,Charlotte,116,103
"['2020', '01', '24']",Memphis,Detroit,125,112
"['2020', '01', '24']",Indiana,Golden State,129,118
"['2020', '01', '24']",LA Clippers,Miami,122,117
"['2020', '01', '24']",Houston,Minnesota,131,124
"['2020', '01', '24']",Denver,New Orleans,113,106
"['2020', '01', '24']",Toronto,New York,118,112
"['2020', '01', '24']",Oklahoma City,Atlanta,140,111
"['2020', '01', '24']",Boston,Orlando,109,98
"['2020', '01', '24']",Phoenix,San Antonio,103,99
"['2020', '01', '25']",Chicago,Cleveland,118,106
"['2020', '01', '25']",Brooklyn,Detroit,121,111
"['2020', '01', '25']",Oklahoma City,Minnesota,113,104
"['2020', '01', '25']",Philadelphia,LA Lakers,108,91
"['2020', '01', '25']",Utah,Dallas,112,107
"['2020', '01', '26']",Atlanta,Washington,152,133
"['2020', '01', '26']",Denver,Houston,117,110
"['2020', '01', '26']",Memphis,Phoenix,114,109
"['2020', '01', '26']",New Orleans,Boston,123,108
"['2020', '01', '26']",New York,Brooklyn,110,97
"['2020', '01', '26']",LA Clippers,Orlando,112,97
"['2020', '01', '26']",Portland,Indiana,139,129
"['2020', '01', '26']",Toronto,San Antonio,110,106
"['2020', '01', '27']",Chicago,San Antonio,110,109
"['2020', '01', '27']",Cleveland,Detroit,115,100
"['2020', '01', '27']",Miami,Orlando,113,92
"['2020', '01', '27']",Sacramento,Minnesota,133,129
"['2020', '01', '27']",Dallas,Oklahoma City,107,97
"['2020', '01', '27']",Houston,Utah,126,117
"['2020', '01', '28']",Charlotte,New York,97,92
"['2020', '01', '28']",New Orleans,Cleveland,125,111
"['2020', '01', '28']",Phoenix,Dallas,133,104
"['2020', '01', '28']",Memphis,Denver,104,96
"['2020', '01', '28']",Boston,Miami,109,101
"['2020', '01', '28']",Milwaukee,Washington,151,131
"['2020', '01', '28']",Philadelphia,Golden State,115,104
"['2020', '01', '28']",Toronto,Atlanta,130,114
"['2020', '01', '29']",Brooklyn,Detroit,125,115
"['2020', '01', '29']",Indiana,Chicago,115,106
"['2020', '01', '29']",Memphis,New York,127,106
"['2020', '01', '29']",Portland,Houston,125,112
"['2020', '01', '29']",Oklahoma City,Sacramento,120,100
"['2020', '01', '29']",San Antonio,Utah,127,120
"['2020', '01', '30']",Atlanta,Philadelphia,127,117
"['2020', '01', '30']",Boston,Golden State,119,104
"['2020', '01', '30']",Toronto,Cleveland,115,109
"['2020', '01', '30']",Denver,Utah,106,100
"['2020', '01', '30']",Sacramento,LA Clippers,124,103
"['2020', '01', '30']",Washington,Charlotte,121,107
"['2020', '01', '31']",Brooklyn,Chicago,133,118
"['2020', '01', '31']",Toronto,Detroit,105,92
"['2020', '01', '31']",Houston,Dallas,128,121
"['2020', '01', '31']",Portland,LA Lakers,127,119
"['2020', '01', '31']",Denver,Milwaukee,127,115
"['2020', '01', '31']",New Orleans,Memphis,139,111
"['2020', '01', '31']",Oklahoma City,Phoenix,111,107
"['2020', '02', '01']",Boston,Philadelphia,116,95
"['2020', '02', '01']",Golden State,Cleveland,131,112
